Instance,Terminal,Layer,X location,Y location,Voltage
_43_,VPWR,li1,19.5500,35.3600,1.799985
_42_,VPWR,li1,11.2700,19.0400,1.799987
_41_,VPWR,li1,13.1100,13.6000,1.799981
_40_,VPWR,li1,19.0900,13.6000,1.799982
_39_,VPWR,li1,17.7100,13.6000,1.799982
_38_,VPWR,li1,23.6900,35.3600,1.799982
_37_,VPWR,li1,21.3900,35.3600,1.799985
_36_,VPWR,li1,17.4800,24.4800,1.799977
_35_,VPWR,li1,20.4700,29.9200,1.799991
_34_,VPWR,li1,13.3400,24.4800,1.799977
_33_,VPWR,li1,20.0100,24.4800,1.799978
_32_,VPWR,li1,8.9700,35.3600,1.799985
_31_,VPWR,li1,11.7300,24.4800,1.799977
_30_,VPWR,li1,8.9700,19.0400,1.799987
_29_,VPWR,li1,10.3500,24.4800,1.799977
_28_,VPWR,li1,17.7100,13.6000,1.799982
_27_,VPWR,li1,28.9800,13.6000,1.799976
_26_,VPWR,li1,26.2200,24.4800,1.799982
_25_,VPWR,li1,20.9300,19.0400,1.799990
_24_,VPWR,li1,14.9500,13.6000,1.799981
_23_,VPWR,li1,16.3300,13.6000,1.799981
