Instance,Terminal,Layer,X location,Y location,Voltage
_39_,VGND,li1,17.7100,10.8800,0.000015
_38_,VGND,li1,23.6900,32.6400,0.000003
_37_,VGND,li1,21.3900,32.6400,0.000004
_36_,VGND,li1,17.4800,21.7600,0.000005
_35_,VGND,li1,20.4700,27.2000,0.000029
_34_,VGND,li1,13.3400,27.2000,0.000035
_33_,VGND,li1,20.0100,21.7600,0.000005
_32_,VGND,li1,8.9700,32.6400,0.000007
_31_,VGND,li1,11.7300,21.7600,0.000006
_30_,VGND,li1,8.9700,21.7600,0.000006
_29_,VGND,li1,10.3500,27.2000,0.000035
_28_,VGND,li1,17.7100,16.3200,0.000012
_27_,VGND,li1,28.9800,10.8800,0.000015
_26_,VGND,li1,26.2200,21.7600,0.000003
_25_,VGND,li1,20.9300,16.3200,0.000010
_24_,VGND,li1,14.9500,16.3200,0.000012
_23_,VGND,li1,16.3300,16.3200,0.000012
